Operator name,Line name,Color
IRいしかわ鉄道,IRいしかわ鉄道線,#00a7e3
WILLER　TRAINS,宮津線,#ea4f6f
WILLER　TRAINS,宮福線,#ea4f6f
アイジーアールいわて銀河鉄道,いわて銀河鉄道線,#03459a
あいの風とやま鉄道,あいの風とやま鉄道線,#00a556
アルピコ交通,上高地線,#465daa
いすみ鉄道,いすみ線,#ffd400
えちごトキめき鉄道,妙高はねうまライン,#35c98e
えちごトキめき鉄道,日本海ひすいライン,#3782bd
えちぜん鉄道,三国芦原線,#0066ff
えちぜん鉄道,勝山永平寺線,#ff6600
くま川鉄道,湯前線,#00ccff
しなの鉄道,しなの鉄道線,#f0a401
しなの鉄道,北しなの線,#999966
スカイレールサービス,広島短距離交通瀬野線,
とさでん交通,伊野線,#008000
とさでん交通,後免線,#008000
とさでん交通,桟橋線,#008000
とさでん交通,駅前線,#008000
のと鉄道,七尾線,#0000ff
ひたちなか海浜鉄道,湊線,#ef1731
ゆりかもめ,東京臨海新交通臨海線,#27404e
ラクテンチ,別府ラクテンチケーブル線,#999999
わたらせ渓谷鐵道,わたらせ渓谷線,#666666
一畑電車,北松江線,#f01008
一畑電車,大社線,#f01008
一般社団法人札幌市交通事業振興公社,1条線,#9c5e31
一般社団法人札幌市交通事業振興公社,山鼻線,#9c5e31
一般社団法人札幌市交通事業振興公社,山鼻西線,#9c5e31
一般社団法人札幌市交通事業振興公社,都心線,#9c5e31
一般社団法人神戸住環境整備公社,摩耶ケーブル線,#773c30
一般財団法人青函トンネル記念館,青函トンネル竜飛斜坑線,#999000
万葉線,新湊港線,
万葉線,高岡軌道線,
三岐鉄道,三岐線,#ffd400
三岐鉄道,北勢線,#ffd400
三岐鉄道,近鉄連絡線,#ffd400
三陸鉄道,リアス線,#ff0000
上信電鉄,上信線,#ff0000
上毛電気鉄道,上毛線,#40e0d0
上田電鉄,別所線,#000080
丹後海陸交通,天橋立鋼索鉄道,#800000
九州旅客鉄道,三角線,#0095d9
九州旅客鉄道,久大線,#36b558
九州旅客鉄道,九州新幹線,#f62e36
九州旅客鉄道,佐世保線,#36b558
九州旅客鉄道,吉都線,#36b558
九州旅客鉄道,唐津線,#0095d9
九州旅客鉄道,大村線,#0095d9
九州旅客鉄道,宮崎空港線,#36b558
九州旅客鉄道,山陽線,#0072bc
九州旅客鉄道,後藤寺線,#8f3e97
九州旅客鉄道,指宿枕崎線,#faaf18
九州旅客鉄道,日南線,#faaf18
九州旅客鉄道,日田彦山線,#b96f30
九州旅客鉄道,日豊線,#0095d9
九州旅客鉄道,筑肥線,#8f3e97
九州旅客鉄道,筑豊線,#faaf18
九州旅客鉄道,篠栗線,#faaf18
九州旅客鉄道,肥薩線,#8f3e97
九州旅客鉄道,西九州新幹線,#f62e36
九州旅客鉄道,豊肥線,#b96f30
九州旅客鉄道,長崎線,#faaf18
九州旅客鉄道,香椎線,#0095d9
九州旅客鉄道,鹿児島線,#ee3d49
井原鉄道,井原線,#9acd32
京成電鉄,千原線,#005aaa
京成電鉄,千葉線,#005aaa
京成電鉄,成田空港線,#ff8620
京成電鉄,押上線,#005aaa
京成電鉄,本線,#66cc33
京成電鉄,東成田線,#005aaa
京成電鉄,金町線,#005aaa
京浜急行電鉄,久里浜線,#33c2e4
京浜急行電鉄,大師線,#33c2e4
京浜急行電鉄,本線,#33c2e4
京浜急行電鉄,空港線,#33c2e4
京浜急行電鉄,逗子線,#33c2e4
京王電鉄,井の頭線,#000088
京王電鉄,京王線,#dd0077
京王電鉄,動物園線,#dd0077
京王電鉄,相模原線,#dd0077
京王電鉄,競馬場線,#dd0077
京王電鉄,高尾線,#dd0077
京福電気鉄道,北野線,#5654a2
京福電気鉄道,嵐山本線,#d7003a
京福電気鉄道,鋼索線,#dd9966
京都市,東西線,#ccc
京都市,烏丸線,#3cb371
京阪電気鉄道,中之島線,#66cc33
京阪電気鉄道,交野線,#66cc33
京阪電気鉄道,京津線,#0099ff
京阪電気鉄道,京阪本線,#66cc33
京阪電気鉄道,宇治線,#66cc33
京阪電気鉄道,石山坂本線,#0099ff
京阪電気鉄道,鋼索線,#dd9966
京阪電気鉄道,鴨東線,#66cc33
仙台市,南北線,#35a16b
仙台市,東西線,#ccc
仙台空港鉄道,仙台空港線,#2a5caa
伊予鉄道,城北線,#008000
伊予鉄道,城南線,#008000
伊予鉄道,大手町線,#008000
伊予鉄道,本町線,#000000
伊予鉄道,横河原線,#00bbee
伊予鉄道,花園線,#008000
伊予鉄道,連絡線,
伊予鉄道,郡中線,#f15a22
伊予鉄道,高浜線,#9acd32
伊勢鉄道,伊勢線,
伊豆急行,伊豆急行線,#00bfff
伊豆箱根鉄道,大雄山線,#0000ff
伊豆箱根鉄道,駿豆線,#0000ff
伊賀鉄道,伊賀線,#703664
会津鉄道,会津線,#ffa500
信楽高原鐵道,信楽線,#00a779
六甲山観光,六甲ケーブル線,#28768d
函館市,大森線,#0072bc
函館市,宝来・谷地頭線,#0072bc
函館市,本線,#66cc33
函館市,湯の川線,#0072bc
北九州高速鉄道,小倉線,
北大阪急行電鉄,南北線,#35a16b
北条鉄道,北条線,
北海道旅客鉄道,函館線,#03c13d
北海道旅客鉄道,北海道新幹線,#9acd32
北海道旅客鉄道,千歳線,#0072bc
北海道旅客鉄道,宗谷線,#954a35
北海道旅客鉄道,室蘭線,#0072bc
北海道旅客鉄道,富良野線,#aa5ea6
北海道旅客鉄道,日高線,#03c13d
北海道旅客鉄道,札沼線,#00a54f
北海道旅客鉄道,根室線,#03c13d
北海道旅客鉄道,海峡線,#03c13d
北海道旅客鉄道,留萌線,#03c13d
北海道旅客鉄道,石勝線,#8cc63e
北海道旅客鉄道,石北線,#f7931d
北海道旅客鉄道,釧網線,#ef59a1
北総鉄道,北総線,#00bdf2
北越急行,ほくほく線,#6633ff
北陸鉄道,浅野川線,#ff6600
北陸鉄道,石川線,#ff6600
十国峠,十国鋼索線,#808080
千葉都市モノレール,1号線,#8f76d6
千葉都市モノレール,2号線,#b5b5ac
南海電気鉄道,加太線,#0065af
南海電気鉄道,南海本線,#0065af
